0,1,2,3,4,5,6,7,8,9
0.5460127,-0.3369755,0.609335,-0.9441285,-1.2239664,2.4904609,-1.8686808,0.013712972,-0.2725744,-3.0979798
0.45028332,-0.21122193,0.69858015,-0.8911575,-1.4065448,2.387909,-1.941118,0.108888686,-0.26175722,-3.147993
0.3745374,-0.15933105,0.7549964,-0.8967503,-1.5255469,2.2237172,-1.9918863,0.2863951,-0.24958843,-3.1948419
0.35513622,-0.09588796,0.818284,-0.8978987,-1.675288,1.9914757,-2.0154092,0.31668106,-0.18474539,-3.235796
0.3928621,-0.05238287,0.8142837,-0.98390615,-1.7712765,1.7096353,-1.9178524,0.40467137,-0.09464345,-3.2753513
0.59138596,0.008618344,0.69643867,-1.1574152,-1.7361463,1.6341411,-1.740334,0.2167971,-0.06151812,-3.2827032
0.92021453,-0.009677727,0.45835218,-1.2967488,-1.5408306,1.6352952,-1.3439147,-0.078386866,0.030445267,-3.3155272
1.2392015,0.18369627,0.18476033,-1.49204,-1.3719515,1.5167509,-1.0489693,-0.3199647,0.14187796,-3.4079883
1.3701897,1.1651076,-0.019009722,-1.6360118,-1.1190244,1.0770478,-0.98023677,-0.007305975,0.07267195,-3.486546
1.4437939,2.5498962,-0.19460966,-1.729836,-0.8315237,0.42152002,-1.0227765,0.6437151,-0.09207091,-3.588423
1.4069333,3.9853039,-0.39471436,-1.8397685,-0.5616654,-0.10149175,-1.122913,1.2699803,-0.25673074,-3.6997805
1.3553011,4.54429,-0.48751265,-1.8433586,-0.34146217,-0.34017742,-1.2177601,1.5814297,-0.38945374,-3.7601693
1.3699939,4.2027564,-0.41628036,-1.7300076,-0.2743542,-0.09851984,-1.2502761,1.5993257,-0.22970763,-3.7393978
1.3722256,3.1059272,-0.21928774,-1.5569618,-0.29354653,0.46511552,-1.2318144,1.268668,-0.054185428,-3.7095313
1.4137791,1.5108865,0.028646898,-1.3324008,-0.3103756,1.1696639,-1.184493,0.7552465,0.24443132,-3.5685978
1.5017606,0.5229217,0.11167272,-1.2011057,-0.27020025,1.6388817,-1.1357205,0.43963987,0.36161238,-3.5020816
1.5698336,0.12200516,0.1098582,-1.1458396,-0.17136967,1.8761808,-1.0876439,0.24798514,0.426201,-3.4341984
1.7053808,0.006845455,0.0794344,-1.1900184,-0.043493476,2.0099735,-1.0475621,0.11047094,0.38686225,-3.3987517
1.6568737,-0.11698431,0.086174235,-1.1632401,-0.057903882,2.1549382,-1.0367146,0.12729125,0.39969945,-3.3165565
1.5314704,-0.17396472,0.24569198,-1.0049747,-0.093652956,2.1815486,-1.2356806,0.3007984,0.3587803,-3.3676329
1.389943,-0.18659571,0.3523836,-0.874141,-0.13320687,2.1852686,-1.4189703,0.54484504,0.33354968,-3.2964635
1.2769004,-0.21139182,0.45751342,-0.768923,-0.18905322,2.1877627,-1.5602113,0.72756577,0.3987628,-3.3093746
1.0638171,-0.25433657,0.53892606,-0.6431022,-0.17108366,2.2796407,-1.7088251,0.8296799,0.32791704,-3.3975785
0.8953355,-0.23270606,0.6074834,-0.5260761,-0.25861603,2.3578498,-1.8581392,1.0267149,0.26402804,-3.3471143
0.5115871,0.0033998394,0.92909604,-0.16154933,-0.29733717,1.3621784,-1.9959956,-0.23010933,1.3649725,-1.7925341
0.38673127,0.09485494,0.9536895,-0.14595547,-0.33328688,1.2966305,-2.15559,-0.06186092,1.2409706,-1.7595919
0.37588438,0.12954463,0.9832776,-0.0908214,-0.31429046,1.2125466,-2.1610112,0.007876526,1.2717646,-1.7849478
0.30919418,0.19072196,0.9843599,-0.059144765,-0.41797364,1.1759106,-2.2211013,0.02288936,1.1881645,-1.7949432
0.34129128,0.2649679,0.9534592,-0.12103232,-0.49001926,1.1176025,-2.114246,-0.00636973,1.2316581,-1.86324
0.54205346,0.27152866,0.77988935,-0.24216585,-0.54062355,1.1810225,-1.7677597,-0.32035533,1.2916157,-1.8743851
0.92418814,0.20607309,0.44498727,-0.47168687,-0.44504327,1.2120109,-1.4012405,-0.9084478,1.2551066,-1.9409406
1.2649093,0.4192878,0.14472112,-0.70537,-0.14230761,1.2557731,-1.0448898,-1.2837185,1.2033095,-1.9396205
1.4000206,1.3298998,-0.16433051,-0.8637365,0.23116045,0.8675936,-0.9396628,-1.1459026,1.0803665,-2.0159314
1.3750892,2.9999294,-0.42938888,-0.96913475,0.72362167,0.24949652,-1.0229143,-0.6075545,0.82748383,-2.0743926
1.4388945,4.2780104,-0.6872507,-0.9798417,1.1408647,-0.20361696,-1.1515152,-0.08469843,0.61892337,-2.1398504
1.3947423,4.4672623,-0.666704,-0.9797181,1.3788961,-0.34029695,-1.2716603,0.08610406,0.4890356,-2.143974
1.5220902,3.699755,-0.5871881,-0.8049686,1.356587,0.19986935,-1.1906489,-0.03387057,0.6728486,-2.1210818
1.5121688,2.2097144,-0.3202855,-0.64817065,1.1996541,0.98218554,-1.2043136,-0.48800907,0.93173516,-1.981386
1.5174552,1.2050802,-0.1938037,-0.52916723,1.1682315,1.3711225,-1.2046858,-0.8625876,1.0493183,-1.9323426
1.628517,0.281194,-0.06257404,-0.42178378,1.0917282,1.8749604,-1.2171266,-1.2457259,1.106292,-1.8146431
1.7254937,-0.052599248,-0.032667458,-0.4443936,1.1575512,1.967526,-1.2144105,-1.376508,1.0647175,-1.6808891
1.837996,-0.21323472,-0.06267315,-0.49721268,1.2212617,2.113375,-1.1580112,-1.4345722,0.96554834,-1.6429186
1.7356815,-0.27572268,0.03176348,-0.45966026,1.1209254,2.1320033,-1.2428198,-1.4642223,0.9499581,-1.553138
1.5789324,-0.31506318,0.1027259,-0.4412565,1.0410494,2.1889198,-1.3688371,-1.3495921,0.9510449,-1.5593214
1.4116573,-0.43301404,0.18242134,-0.41054857,0.85325485,2.1429071,-1.5083036,-1.3109356,0.91463464,-1.5410718
1.2226832,-0.43009108,0.3412329,-0.34922528,0.70044994,2.1145706,-1.6185716,-1.2182779,0.9895981,-1.567635
0.9786276,-0.42164832,0.4044446,-0.2759156,0.42081818,2.0722466,-1.7498344,-1.1377218,1.002125,-1.6707225
0.7057455,-0.38201246,0.574326,-0.24691465,0.16438404,1.8818783,-1.9068984,-0.84409213,0.9972168,-1.7167206
0.07736889,-0.98522025,1.3450763,-0.54923034,0.6765754,1.1595415,-2.1816075,0.03385013,0.91823864,-1.6165681
-0.07113152,-0.81122404,1.4394825,-0.49807683,0.48412517,0.96778643,-2.326592,0.24676962,0.7957063,-1.5903105
-0.04364144,-0.7505541,1.4373932,-0.4936839,0.4105084,0.9784376,-2.2820132,0.3032121,0.8096423,-1.5736998
-0.06400402,-0.6578364,1.4922153,-0.5706475,0.35761774,0.8924795,-2.27888,0.36857545,0.7921631,-1.561403
0.00432364,-0.6019677,1.4890113,-0.6359907,0.21107331,0.78806514,-2.228776,0.34497115,0.8244206,-1.5151519
0.2075626,-0.63910514,1.2510893,-0.7788095,0.18302076,0.82923794,-1.9544649,0.03221034,0.9584358,-1.5974319
0.5779597,-0.6358014,0.9989172,-1.0557231,0.27900958,0.7913402,-1.5549309,-0.3953859,0.9396346,-1.5264323
0.9123429,-0.34352475,0.77406967,-1.3224428,0.2692211,0.73405635,-1.1918871,-0.77887,0.93686724,-1.5765812
0.9969415,0.39392105,0.5175252,-1.4484909,0.52022755,0.5251954,-1.108434,-0.6386655,0.8466024,-1.6021727
1.0378555,1.1950991,0.40226,-1.5745649,0.6278119,0.16109037,-1.1273441,-0.47434914,0.72353566,-1.6324098
1.034982,2.2057455,0.19934346,-1.7081192,0.8456819,-0.31960788,-1.15009,-0.304348,0.5305138,-1.6047571
1.0358014,2.463002,0.17425244,-1.7488782,0.8956039,-0.3586452,-1.14205,-0.20297323,0.523249,-1.7088313
0.97377807,2.1826928,0.25440228,-1.6822027,0.78944814,-0.31457442,-1.2032865,-0.14598323,0.5396194,-1.6795645
1.0595256,1.5074147,0.35682207,-1.5809516,0.69355047,0.019442655,-1.1389588,-0.38131744,0.74490345,-1.68746
0.8940984,0.35991657,0.6650473,-1.4737306,0.42281792,0.32378682,-1.2596463,-0.6160744,0.8587801,-1.6348608
1.0073614,-0.27936235,0.697415,-1.446042,0.26906955,0.5770247,-1.1691016,-0.84280956,1.0275568,-1.5864211
0.9718981,-0.5566894,0.8453565,-1.4629921,0.21350671,0.53566587,-1.1657106,-0.9579883,1.0138277,-1.5409092
1.1341627,-0.60156214,0.82866997,-1.5163693,0.26869878,0.62737375,-1.0915476,-1.079052,1.0737883,-1.5207483
1.1069,-0.6995749,0.8629919,-1.4508605,0.16773942,0.57252204,-1.0811051,-0.9716356,1.122334,-1.5575423
0.9419269,-0.73085403,1.0382292,-1.362576,0.06639246,0.47749603,-1.2971929,-0.85530144,1.0780532,-1.5630202
0.742368,-0.76809174,1.2170563,-1.2802453,0.0012121322,0.30587646,-1.4621584,-0.634184,1.1370105,-1.5764314
0.40411282,-0.72437954,1.4245877,-1.0781077,-0.18031938,0.17623277,-1.7825645,-0.3807618,0.99243635,-1.5901972
